Pixels,Classification
"[116.52637558837851, 72.51701563598982, 91.23259211167019]",Not Pink
"[201.4401882811232, 93.11643131526267, 147.10214791971]",Pink
"[201.3579505491533, 95.42990856462696, 145.78428826489207]",Pink
"[247.4955364388898, 109.39787913217552, 178.06313910079533]",Pink
"[46.593464264459236, 73.0848347129795, 65.26007682735487]",Not Pink
"[63.44473299788995, 68.32646215441217, 63.08629551479738]",Not Pink
"[144.17659470865118, 76.8907644862847, 107.90650868365525]",Not Pink
"[216.83801330952767, 94.98376886869015, 154.19791159443812]",Pink
"[216.91337986257642, 94.92284802250717, 154.0070875940053]",Pink
"[216.9064004761132, 94.89152193907915, 153.93767245577016]",Pink
"[246.72288048476977, 104.5611102093816, 175.9276632581291]",Pink
"[48.92647297516637, 73.12157117351079, 65.81058269761402]",Not Pink
"[59.42861007412217, 70.63323053616837, 64.15084131363956]",Not Pink
"[247.10436617432234, 118.24839041281177, 179.54558242709516]",Pink
"[244.05523995022452, 132.31212465508847, 178.05810745008927]",Pink
"[244.09170589190066, 131.8230265649516, 178.6924200616783]",Pink
"[244.06665584591246, 131.83747227181735, 179.02477952713303]",Pink
"[242.76724557701672, 131.54228209706216, 177.61770275388196]",Pink
"[243.52199318292486, 130.1362332954607, 176.93648217280744]",Pink
"[243.84980793161284, 134.28209706216524, 179.5180977114105]",Pink
"[245.91386679651572, 130.81339609370772, 179.2911323919277]",Pink
"[246.60801817886707, 136.37466861440242, 182.26072607260727]",Pink
"[226.490937618352, 233.4479251203809, 227.7716820862414]",Not Pink
"[227.52778228642538, 68.82053779148407, 160.55456365308663]",Pink
"[233.8514310447438, 134.51063139100796, 177.74868798355246]",Pink
"[239.59963209435696, 125.25926527078937, 174.87220689282043]",Pink
"[239.03094735703078, 126.15073310609749, 175.59524968890332]",Pink
"[178.81036628252988, 190.5629497375967, 185.53779148406645]",Not Pink
"[192.89942108964996, 194.1724828220527, 194.27982470378186]",Not Pink
"[243.04999188443435, 85.16333928474815, 185.35356814369962]",Pink
